#Sumatra CSVExporter
#Sun Jun 19 00:13:52 CEST 2011
time,setv_x,setv_y,actualv_x,actualv_y,x,y,deltaT
289515154964802,-10.000045,-2.6413236,0.3544418,0.0821698,4093.7341,707.0838,0.021024292334914207
289515185048942,-10.000046,-2.6513004,0.3544618,0.082012534,4108.467,710.9579,0.03000796027481556
289515205819568,-10.000046,-2.6608608,0.35446844,0.08196011,4113.378,712.2492,0.020848022773861885
289515226856016,-10.000046,-2.6706505,0.35448173,0.08185525,4123.1997,714.832,0.021028749644756317
289515250366316,-10.000048,-2.680674,0.35450158,0.08169795,4137.932,718.70605,0.023475855588912964
289515271075349,-10.000046,-2.6902921,0.35450816,0.08164551,4142.8433,719.9974,0.020744288340210915
289515291242606,-10.000048,-2.7001138,0.35452077,0.0815454,4152.2183,722.4627,0.02016928419470787
289515311798062,-10.000047,-2.7099957,0.3545345,0.08143574,4162.487,725.16284,0.020570043474435806
289515346402805,-10.000048,-2.720062,0.35455358,0.08128317,4176.773,728.9195,0.025948088616132736
289515366634492,-10.000048,-2.729948,0.35456604,0.081183024,4186.1484,731.3848,0.028860384598374367
289515386934255,-10.000048,-2.7398808,0.3545797,0.081073344,4196.4165,734.08496,0.020322859287261963
289515406951988,-10.000048,-2.74961,0.35458618,0.081020884,4201.327,735.3763,0.020010843873023987
289515428178483,-10.000048,-2.759553,0.35459918,0.08091596,4211.149,737.959,0.021223660558462143
289515452418579,-10.000049,-2.769696,0.354618,0.08076333,4225.4355,741.7157,0.02425387315452099
289515473016988,-10.000049,-2.7796593,0.35463035,0.08066316,4234.8105,744.181,0.02059030346572399
289515493340659,-10.000049,-2.7894588,0.3546368,0.080610685,4239.7217,745.47235,0.020319214090704918
289515514362520,-10.00005,-2.7994652,0.35464963,0.08050573,4249.5435,748.05505,0.021023888140916824
289515535778252,-10.000048,-2.8096879,0.3546689,0.08034828,4264.276,751.92914,0.021426672115921974
289515556087740,-10.000049,-2.8197336,0.35468167,0.08024331,4274.0977,754.51184,0.02030584216117859
289515576843373,-10.000049,-2.8295982,0.35468805,0.08019082,4279.009,755.8032,0.02074793353676796
289515597829980,-10.00005,-2.8396506,0.3547002,0.08009061,4288.384,758.26855,0.020985392853617668
289515622344813,-10.000049,-2.8499103,0.35471866,0.0799379,4302.67,762.0252,0.024499436840415
289515642923366,-10.00005,-2.8599977,0.35473076,0.07983767,4312.0454,764.49054,0.020606108009815216
289515663994258,-10.000051,-2.8699265,0.35473707,0.07978517,4316.9565,765.78186,0.021053871139883995
289515684599961,-10.000051,-2.8800533,0.35474968,0.07968016,4326.778,768.3646,0.020592330023646355
289515704179653,-10.000051,-2.8903844,0.3547685,0.07952263,4341.5107,772.23865,0.019601168110966682
289515724582342,-10.000051,-2.900363,0.3547748,0.07947011,4346.4214,773.53,0.02040795609354973
289515744833885,-10.000051,-2.910538,0.35478732,0.07936508,4356.243,776.11273,0.020245060324668884
289515764920504,-10.0000515,-2.920707,0.3547992,0.07926482,4365.6187,778.57806,0.02010444737970829
289515784988888,-10.000051,-2.9307294,0.35480544,0.07921229,4370.5293,779.8694,0.020056631416082382
289515808515802,-10.0000515,-2.941114,0.3548241,0.07905472,4385.262,783.74347,0.023480314761400223
289515828844741,-10.0000515,-2.951343,0.35483646,0.07894966,4395.084,786.3262,0.020369460806250572
289515849878353,-10.000051,-2.9614122,0.35484266,0.078897126,4399.9946,787.61755,0.021008487790822983
289515871061896,-10.0000515,-2.9716628,0.354855,0.07879205,4409.8164,790.20026,0.021195294335484505
289515891407854,-10.000052,-2.982082,0.35487288,0.07863921,4424.1025,793.9569,0.020356088876724243
289515911785419,-10.000052,-2.9923663,0.35488513,0.07853412,4433.9243,796.5396,0.020322052761912346
289515931859477,-10.000052,-3.0024793,0.3548907,0.078486346,4438.3887,797.71356,0.020131191238760948
289515951877209,-10.000053,-3.0127664,0.35490236,0.07838602,4447.764,800.1789,0.02001287043094635
